Month	Day	Period	Value
2	1	21	0
2	1	22	0
2	1	23	0
2	1	24	0
2	2	1	0
2	2	2	0
2	2	3	0
2	2	4	0
2	2	5	0
2	2	6	0
2	2	7	0
2	2	8	0
2	2	9	0
2	2	10	8.8
2	2	11	12.98
2	2	12	11.71
2	2	13	15.15
2	2	14	15.79
2	2	15	15.06
2	2	16	9.98
2	2	17	6.17
2	2	18	0
2	2	19	0
2	2	20	0
2	2	21	0
2	2	22	0
2	2	23	0
2	2	24	0
2	3	1	0
2	3	2	0
2	3	3	0
2	3	4	0
2	3	5	0
2	3	6	0
2	3	7	0
2	3	8	0
2	3	9	2.72
2	3	10	13.34
2	3	11	20.33
2	3	12	26.95
2	3	13	31.49
2	3	14	26.68
2	3	15	22.05
2	3	16	9.71
2	3	17	6.81
2	3	18	3.72
2	3	19	0
2	3	20	0
2	3	21	0
2	3	22	0
2	3	23	0
2	3	24	0
2	4	1	0
2	4	2	0
2	4	3	0
2	4	4	0
2	4	5	0
2	4	6	0
2	4	7	0
2	4	8	0
2	4	9	12.34
2	4	10	55.26
2	4	11	68.87
2	4	12	71.51
2	4	13	71.6
2	4	14	74.5
2	4	15	75.05
2	4	16	70.6
2	4	17	57.89
2	4	18	23.77
2	4	19	0
2	4	20	0
2	4	21	0
2	4	22	0
2	4	23	0
2	4	24	0
2	5	1	0
2	5	2	0
2	5	3	0
2	5	4	0
2	5	5	0
2	5	6	0
2	5	7	0
2	5	8	0
2	5	9	15.97
2	5	10	70.24
2	5	11	91.65
2	5	12	96.1
2	5	13	100
2	5	14	100
2	5	15	98.73
2	5	16	94.92
2	5	17	79.13
2	5	18	29.04
2	5	19	0
2	5	20	0
2	5	21	0
2	5	22	0
2	5	23	0
2	5	24	0
2	6	1	0
2	6	2	0
2	6	3	0
2	6	4	0
2	6	5	0
2	6	6	0
2	6	7	0
2	6	8	0
2	6	9	15.52
2	6	10	74.41
2	6	11	92.2
2	6	12	97.37
2	6	13	100
2	6	14	100
2	6	15	99
2	6	16	94.92
2	6	17	79.85
2	6	18	30.94
2	6	19	0
2	6	20	0
2	6	21	0
2	6	22	0
2	6	23	0
2	6	24	0
2	7	1	0
2	7	2	0
2	7	3	0
2	7	4	0
2	7	5	0
2	7	6	0
2	7	7	0
2	7	8	0
2	7	9	17.79
2	7	10	72.6
2	7	11	85.93
2	7	12	92.56
2	7	13	99
2	7	14	100
2	7	15	100
2	7	16	94.74
2	7	17	79.85
2	7	18	32.4
2	7	19	0
2	7	20	0
2	7	21	0
2	7	22	0
2	7	23	0
2	7	24	0
2	8	1	0
2	8	2	0
2	8	3	0
2	8	4	0
2	8	5	0
2	8	6	0
2	8	7	0
2	8	8	0
2	8	9	18.6
2	8	10	72.41
2	8	11	90.93
2	8	12	95.19
2	8	13	99.55
2	8	14	99.46
2	8	15	99.91
2	8	16	95.1
2	8	17	80.76
2	8	18	30.04
2	8	19	0
2	8	20	0
2	8	21	0
2	8	22	0
2	8	23	0
2	8	24	0
2	9	1	0
2	9	2	0
2	9	3	0
2	9	4	0
2	9	5	0
2	9	6	0
2	9	7	0
2	9	8	0
2	9	9	21.69
2	9	10	77.95
2	9	11	91.83
2	9	12	95.01
2	9	13	95.74
2	9	14	98.37
2	9	15	98.55
2	9	16	95.83
2	9	17	81.03
2	9	18	33.58
2	9	19	0
2	9	20	0
2	9	21	0
2	9	22	0
2	9	23	0
2	9	24	0
2	10	1	0
2	10	2	0
2	10	3	0
2	10	4	0
2	10	5	0
2	10	6	0
2	10	7	0
2	10	8	0
2	10	9	16.06
2	10	10	75.95
2	10	11	92.74
2	10	12	96.19
2	10	13	97.91
2	10	14	97.82
2	10	15	98.28
2	10	16	94.56
2	10	17	80.49
2	10	18	36.39
2	10	19	0
2	10	20	0
2	10	21	0
2	10	22	0
2	10	23	0
2	10	24	0
2	11	1	0
2	11	2	0
2	11	3	0
2	11	4	0
2	11	5	0
2	11	6	0
2	11	7	0
2	11	8	0
2	11	9	19.06
2	11	10	77.22
2	11	11	92.47
2	11	12	95.55
2	11	13	96.37
2	11	14	95.01
2	11	15	97.55
2	11	16	94.83
2	11	17	80.49
2	11	18	35.75
2	11	19	0
2	11	20	0
2	11	21	0
2	11	22	0
2	11	23	0
2	11	24	0
2	12	1	0
2	12	2	0
2	12	3	0
2	12	4	0
2	12	5	0
2	12	6	0
2	12	7	0
2	12	8	0
2	12	9	11.8
2	12	10	32.58
2	12	11	48.46
2	12	12	54.81
2	12	13	77.13
2	12	14	75.41
2	12	15	83.67
2	12	16	100
2	12	17	90.02
2	12	18	39.84
2	12	19	0
2	12	20	0
2	12	21	0
2	12	22	0
2	12	23	0
2	12	24	0
2	13	1	0
2	13	2	0
2	13	3	0
2	13	4	0
2	13	5	0
2	13	6	0
2	13	7	0
2	13	8	0
2	13	9	22.69
2	13	10	76.77
2	13	11	90.56
2	13	12	93.38
2	13	13	97.1
2	13	14	97.82
