year,month,day,period,1
2023,1,2,17,8873.242
2023,1,2,18,8888.979
2023,1,2,19,8899.158
2023,1,2,20,9326.375
2023,1,2,21,9091.407
2023,1,2,22,8908.025
2023,1,2,23,8648.423
2023,1,2,24,8182.987
2023,1,2,1,5111.575
2023,1,2,2,4942.928
2023,1,2,3,4841.505
2023,1,2,4,4792.036
2023,1,2,5,4753.018
2023,1,2,6,4828.044
2023,1,2,7,4984.787
2023,1,2,8,5220.384
2023,1,2,9,5426.449
2023,1,2,10,5558.137
2023,1,2,11,5755.317
2023,1,2,12,5847.849
2023,1,2,13,5896.889
2023,1,2,14,5993.63
2023,1,2,15,6044.536
2023,1,2,16,6113.458
2023,1,2,17,6089.638
2023,1,2,18,6214.485
2023,1,2,19,6714.538
2023,1,2,20,6955.968
2023,1,2,21,6881.674
2023,1,2,22,6578.604
2023,1,2,23,6264.837
2023,1,2,24,5955.458
2023,1,2,1,1385.826
2023,1,2,2,1325.975
2023,1,2,3,1278.438
2023,1,2,4,1249.317
2023,1,2,5,1236.209
2023,1,2,6,1251.778
2023,1,2,7,1277.379
2023,1,2,8,1336.953
2023,1,2,9,1434.462
2023,1,2,10,1503.642
2023,1,2,11,1553.435
2023,1,2,12,1585.956
2023,1,2,13,1597.979
2023,1,2,14,1622.411
2023,1,2,15,1653.358
2023,1,2,16,1670.753
2023,1,2,17,1685.351
2023,1,2,18,1712.464
2023,1,2,19,1779.639
2023,1,2,20,1754.612
2023,1,2,21,1732.936
2023,1,2,22,1695.705
2023,1,2,23,1651.121
2023,1,2,24,1601.979
2023,1,3,1,5750.972
2023,1,3,2,5456.788
2023,1,3,3,5305.175
2023,1,3,4,5259.369
2023,1,3,5,5321.564
2023,1,3,6,5519.618
2023,1,3,7,5895.307
2023,1,3,8,6151.683
2023,1,3,9,6471.688
2023,1,3,10,6703.933
2023,1,3,11,6909.214
2023,1,3,12,7009.948
2023,1,3,13,7058.188
2023,1,3,14,7049.679
2023,1,3,15,7021.36
2023,1,3,16,7087.161
2023,1,3,17,7133.014
2023,1,3,18,7144.788
2023,1,3,19,7494.582
2023,1,3,20,7672.344
2023,1,3,21,7586.524
2023,1,3,22,7324.82
2023,1,3,23,6890.683
2023,1,3,24,6488.191
2023,1,3,1,5228.446
2023,1,3,2,5030.315
2023,1,3,3,4913.873
2023,1,3,4,4880.201
2023,1,3,5,4880.64
2023,1,3,6,4977.614
2023,1,3,7,5154.809
2023,1,3,8,5375.521
2023,1,3,9,5509.239
2023,1,3,10,5647.033
2023,1,3,11,5783.792
2023,1,3,12,5890.26
2023,1,3,13,6017.016
2023,1,3,14,6093.08
2023,1,3,15,6193.834
2023,1,3,16,6235.01
2023,1,3,17,6284.568
2023,1,3,18,6181.646
2023,1,3,19,6142.916
2023,1,3,20,6094.277
2023,1,3,21,6016.748
2023,1,3,22,5903.268
2023,1,3,23,5786.086
2023,1,3,24,5702.699
2023,1,3,1,1975.897
2023,1,3,2,1908.277
2023,1,3,3,1850.246
2023,1,3,4,1809.476
2023,1,3,5,1786.232
2023,1,3,6,1799.058
2023,1,3,7,1820.198
2023,1,3,8,1888.268
2023,1,3,9,1932.753
2023,1,3,10,2021.121
2023,1,3,11,2095.117
2023,1,3,12,2143.201
2023,1,3,13,2180.82
2023,1,3,14,2183.771
2023,1,3,15,2220.152
2023,1,3,16,2231.477
2023,1,3,17,2249.752
2023,1,3,18,2239.213
2023,1,3,19,2266
2023,1,3,20,2331.302
2023,1,3,21,2296.526
2023,1,3,22,2267.741
2023,1,3,23,2185.363
2023,1,3,24,2108.843
2023,1,3,1,2604.292
2023,1,3,2,2483.263
2023,1,3,3,2394.052
2023,1,3,4,2355.615
2023,1,3,5,2333.402
2023,1,3,6,2373.716
2023,1,3,7,2423.838
2023,1,3,8,2559.769
2023,1,3,9,2663.361
2023,1,3,10,2749.375
2023,1,3,11,2772.163
2023,1,3,12,2797.75
2023,1,3,13,2786.483
2023,1,3,14,2750.844
2023,1,3,15,2770.867
2023,1,3,16,2763.533
2023,1,3,17,2739.91
2023,1,3,18,2753.932
2023,1,3,19,2850.428
2023,1,3,20,2970.173
2023,1,3,21,2974.808
2023,1,3,22,2934.413
2023,1,3,23,2861.916
2023,1,3,24,2742.364
2023,1,3,1,7929.864
2023,1,3,2,7724.384
2023,1,3,3,7553.616
2023,1,3,4,7449.022
2023,1,3,5,7514.48
2023,1,3,6,7575.222
2023,1,3,7,7879.706
2023,1,3,8,8205.288
2023,1,3,9,8567.19
2023,1,3,10,8820.834
2023,1,3,11,8876.284
2023,1,3,12,8899.285
2023,1,3,13,8952.966
2023,1,3,14,8984.267
2023,1,3,15,9072.488
2023,1,3,16,9246.058
2023,1,3,17,9338.009
2023,1,3,18,9426.37
2023,1,3,19,9448.573
2023,1,3,20,9667.591
2023,1,3,21,9578.551
2023,1,3,22,9335.821
2023,1,3,23,9048.243
2023,1,3,24,8680.452
2023,1,3,1,5862.073
2023,1,3,2,5659.179
2023,1,3,3,5510.99
2023,1,3,4,5423.357
2023,1,3,5,5409.739
2023,1,3,6,5478.117
2023,1,3,7,5565.857
2023,1,3,8,5620.497
2023,1,3,9,5793.911
2023,1,3,10,5956.353
2023,1,3,11,6082.512
2023,1,3,12,6168.847
2023,1,3,13,6262.074
2023,1,3,14,6311.851
2023,1,3,15,6387.089
2023,1,3,16,6414.833
2023,1,3,17,6446.296
2023,1,3,18,6573.732
2023,1,3,19,7086.225
2023,1,3,20,7351.705
2023,1,3,21,7219.298
2023,1,3,22,6958.345
2023,1,3,23,6577.846
2023,1,3,24,6341.588
2023,1,3,1,1455.531
2023,1,3,2,1389.821
2023,1,3,3,1337.601
2023,1,3,4,1304.703
2023,1,3,5,1290.461
2023,1,3,6,1294.127
2023,1,3,7,1309.268
2023,1,3,8,1358.344
2023,1,3,9,1446.069
2023,1,3,10,1503.722
2023,1,3,11,1550.879
2023,1,3,12,1580.006
2023,1,3,13,1593.037
2023,1,3,14,1618.06
2023,1,3,15,1649.89
2023,1,3,16,1665.887
2023,1,3,17,1675.251
2023,1,3,18,1693.994
2023,1,3,19,1758.573
2023,1,3,20,1733.985
2023,1,3,21,1709.193
2023,1,3,22,1674.292
2023,1,3,23,1629.41
2023,1,3,24,1581.263
2023,1,4,1,5844.041
2023,1,4,2,5559.385
2023,1,4,3,5406.61
2023,1,4,4,5352.753
2023,1,4,5,5312.393
2023,1,4,6,5494.87
2023,1,4,7,5840.061
2023,1,4,8,6147.414
2023,1,4,9,6339.373
2023,1,4,10,6652.717
2023,1,4,11,6819.921
2023,1,4,12,6931.527
2023,1,4,13,6998.397
2023,1,4,14,6973.568
2023,1,4,15,7017.079
2023,1,4,16,7078.041
2023,1,4,17,7087.272
2023,1,4,18,7121.035
2023,1,4,19,7404.659
2023,1,4,20,7561.403
2023,1,4,21,7456.145
2023,1,4,22,7218.313
2023,1,4,23,6817.028
2023,1,4,24,6457.874
2023,1,4,1,5381.045
2023,1,4,2,5248.666
2023,1,4,3,5145.793
2023,1,4,4,5094.099
2023,1,4,5,5071.224
2023,1,4,6,5126.17
2023,1,4,7,5265.953
2023,1,4,8,5511.008
2023,1,4,9,5641.89
2023,1,4,10,5752.287
2023,1,4,11,5875.118
2023,1,4,12,5979.874
2023,1,4,13,6078.133
2023,1,4,14,6122.917
2023,1,4,15,6162.944
2023,1,4,16,6183.108
2023,1,4,17,6157.843
2023,1,4,18,6069.21
2023,1,4,19,5990.299
2023,1,4,20,5947.028
2023,1,4,21,5858.038
2023,1,4,22,5771.229
2023,1,4,23,5686.687
2023,1,4,24,5613.717
2023,1,4,1,2068.789
2023,1,4,2,1979.245
2023,1,4,3,1931.302
2023,1,4,4,1894.448
2023,1,4,5,1872.269
2023,1,4,6,1871.408
2023,1,4,7,1904.041
2023,1,4,8,1972.016
2023,1,4,9,2027.416
2023,1,4,10,2093.209
2023,1,4,11,2145.759
2023,1,4,12,2184.498
2023,1,4,13,2211.77
2023,1,4,14,2210.947
2023,1,4,15,2220.641
2023,1,4,16,2236.805
2023,1,4,17,2252.558
2023,1,4,18,2228.247
2023,1,4,19,2313.865
2023,1,4,20,2372.015
2023,1,4,21,2353.076
2023,1,4,22,2315.207
2023,1,4,23,2239.76
2023,1,4,24,2177.393
2023,1,4,1,2908.415
2023,1,4,2,2800.15
2023,1,4,3,2727.471
2023,1,4,4,2687.916
2023,1,4,5,2680.526
2023,1,4,6,2721.489
2023,1,4,7,2798.453
2023,1,4,8,2929.754
2023,1,4,9,3046.279
2023,1,4,10,3113.626
2023,1,4,11,3130.939
2023,1,4,12,3162.942
2023,1,4,13,3158.594
2023,1,4,14,3152.728
2023,1,4,15,3098.029
2023,1,4,16,3112.49
2023,1,4,17,3105.933
2023,1,4,18,3112.065
2023,1,4,19,3154.539
2023,1,4,20,3254.722
2023,1,4,21,3263.376
2023,1,4,22,3221.611
2023,1,4,23,3133.577
2023,1,4,24,3002.535
2023,1,4,1,7898.758
2023,1,4,2,7696.492
2023,1,4,3,7550.915
2023,1,4,4,7463.808
2023,1,4,5,7520.331
2023,1,4,6,7650.805
2023,1,4,7,7866.099
2023,1,4,8,8303.581
2023,1,4,9,8653.784
2023,1,4,10,8861.703
2023,1,4,11,8899.307
2023,1,4,12,8987.897
2023,1,4,13,9108.737
2023,1,4,14,9156.072
2023,1,4,15,9242.225
2023,1,4,16,9372.943
2023,1,4,17,9445.094
2023,1,4,18,9295.267
2023,1,4,19,9329.86
2023,1,4,20,9409.3
2023,1,4,21,9343.494
2023,1,4,22,9126.118
2023,1,4,23,8894.376
2023,1,4,24,8622.445
2023,1,4,1,6407.733
2023,1,4,2,6209.216
2023,1,4,3,6051.072
2023,1,4,4,5886.448
2023,1,4,5,5810.017
2023,1,4,6,5862.667
2023,1,4,7,5942.309
2023,1,4,8,6026.715
2023,1,4,9,6167.055
2023,1,4,10,6311.092
2023,1,4,11,6436.985
2023,1,4,12,6562.461
2023,1,4,13,6684.125
2023,1,4,14,6738.455
2023,1,4,15,6795.119
2023,1,4,16,6854.003
2023,1,4,17,6825.922
2023,1,4,18,6903.654
2023,1,4,19,7344.286
2023,1,4,20,7478.24
2023,1,4,21,7396.3
2023,1,4,22,7184.441
2023,1,4,23,6997.16
2023,1,4,24,6686.534
2023,1,4,1,1613.061
2023,1,4,2,1525.367
2023,1,4,3,1456.414
2023,1,4,4,1403.32
2023,1,4,5,1371.553
2023,1,4,6,1363.057
2023,1,4,7,1362.772
2023,1,4,8,1431.189
2023,1,4,9,1536.919
2023,1,4,10,1605.288
2023,1,4,11,1650.441
2023,1,4,12,1680.82
2023,1,4,13,1707.079
2023,1,4,14,1737.766
2023,1,4,15,1774.188
2023,1,4,16,1807.914
2023,1,4,17,1806.375
2023,1,4,18,1847.354
2023,1,4,19,1883.605
2023,1,4,20,1864.852
2023,1,4,21,1852.121
2023,1,4,22,1828.577
2023,1,4,23,1783.45
2023,1,4,24,1719.637
2023,1,5,1,5914.048
2023,1,5,2,5604.088
2023,1,5,3,5434.807
2023,1,5,4,5388.879
2023,1,5,5,5440.606
2023,1,5,6,5551.101
2023,1,5,7,5871.944
2023,1,5,8,6081.563
2023,1,5,9,6437.521
2023,1,5,10,6720.638
2023,1,5,11,6900.078
2023,1,5,12,6957.789
2023,1,5,13,7007.889
2023,1,5,14,6998.922
2023,1,5,15,6994.59
2023,1,5,16,7099.161
2023,1,5,17,7106.755
2023,1,5,18,7128.845
2023,1,5,19,7419.789
2023,1,5,20,7604.172
2023,1,5,21,7489.05
2023,1,5,22,7232.357
2023,1,5,23,6845.986
2023,1,5,24,6446.231
2023,1,5,1,5546.317
2023,1,5,2,5399.099
2023,1,5,3,5276.362
2023,1,5,4,5202.884
2023,1,5,5,5190.158
2023,1,5,6,5244.385
2023,1,5,7,5374.417
2023,1,5,8,5531.611
2023,1,5,9,5724.408
2023,1,5,10,5876.505
2023,1,5,11,5970.995
2023,1,5,12,6070.832
2023,1,5,13,6131.422
2023,1,5,14,6203.053
2023,1,5,15,6296.089
2023,1,5,16,6379.56
2023,1,5,17,6388.306
2023,1,5,18,6303.307
2023,1,5,19,6241.88
2023,1,5,20,6195.298
2023,1,5,21,6132.394
2023,1,5,22,6069.157
2023,1,5,23,5936.835
2023,1,5,24,5811.166
2023,1,5,1,2081.773
2023,1,5,2,2014.464
2023,1,5,3,1917.772
2023,1,5,4,1878.332
2023,1,5,5,1855.139
2023,1,5,6,1869.56
2023,1,5,7,1931.761
2023,1,5,8,2002.135
2023,1,5,9,2051.236
2023,1,5,10,2072.835
2023,1,5,11,2152.486
2023,1,5,12,2195.221
2023,1,5,13,2229.268
2023,1,5,14,2278.128
2023,1,5,15,2293.74
2023,1,5,16,2288.748
2023,1,5,17,2310.391
2023,1,5,18,2313.715
2023,1,5,19,2348.289
2023,1,5,20,2425.49
2023,1,5,21,2389.843
2023,1,5,22,2361.415
2023,1,5,23,2306.332
2023,1,5,24,2223.103
2023,1,5,1,2950.081
2023,1,5,2,2854.663
2023,1,5,3,2791.235
2023,1,5,4,2759.498
2023,1,5,5,2755.57
2023,1,5,6,2785.279
2023,1,5,7,2859.816
2023,1,5,8,3015.098
2023,1,5,9,3120.924
2023,1,5,10,3157.086
2023,1,5,11,3183.13
2023,1,5,12,3179.774
2023,1,5,13,3159.723
2023,1,5,14,3138.928
2023,1,5,15,3126.566
2023,1,5,16,3121.334
2023,1,5,17,3113.328
2023,1,5,18,3155.4
2023,1,5,19,3186.662
2023,1,5,20,3294.673
2023,1,5,21,3304.691
2023,1,5,22,3279.408
2023,1,5,23,3232.848
2023,1,5,24,3111.744
2023,1,5,1,8068.192
2023,1,5,2,7862.062
2023,1,5,3,7682.905
2023,1,5,4,7586.289
2023,1,5,5,7655.097
2023,1,5,6,7747.526
2023,1,5,7,8025.538
2023,1,5,8,8422.945
2023,1,5,9,8794.044
2023,1,5,10,9000.816
2023,1,5,11,9040.239
2023,1,5,12,9097.166
2023,1,5,13,9167.989
2023,1,5,14,9209.375
2023,1,5,15,9295.416
2023,1,5,16,9443.995
2023,1,5,17,9519.183
2023,1,5,18,9527.759
2023,1,5,19,9554.113
2023,1,5,20,9700.436
2023,1,5,21,9615.434
2023,1,5,22,9393.449
2023,1,5,23,9130.35
2023,1,5,24,8779.7
2023,1,5,1,6542.522
2023,1,5,2,6265.191
2023,1,5,3,6084.367
2023,1,5,4,5985.784
2023,1,5,5,5901.215
2023,1,5,6,5935.973
2023,1,5,7,6086.162
2023,1,5,8,6078.45
2023,1,5,9,6267.998
2023,1,5,10,6449.101
2023,1,5,11,6617.705
2023,1,5,12,6739.684
2023,1,5,13,6806.319
2023,1,5,14,6863.448
2023,1,5,15,6855.096
2023,1,5,16,6848.355
2023,1,5,17,6879.736
2023,1,5,18,6888.677
2023,1,5,19,7253.869
2023,1,5,20,7331.111
2023,1,5,21,7223.107
2023,1,5,22,6983.949
2023,1,5,23,6836.204
2023,1,5,24,6631.919
2023,1,5,1,1617.77
2023,1,5,2,1538.193
2023,1,5,3,1471.103
2023,1,5,4,1417.901
2023,1,5,5,1385.592
2023,1,5,6,1376.105
2023,1,5,7,1376.177
2023,1,5,8,1437.294
2023,1,5,9,1544.088
2023,1,5,10,1618.489
2023,1,5,11,1650.875
2023,1,5,12,1683.139
2023,1,5,13,1697.717
2023,1,5,14,1713.385
2023,1,5,15,1740.904
2023,1,5,16,1769.486
2023,1,5,17,1768.932
2023,1,5,18,1788.338
2023,1,5,19,1818.237
2023,1,5,20,1799.32
2023,1,5,21,1778.65
2023,1,5,22,1753.212
2023,1,5,23,1713.987
2023,1,5,24,1652.638
2023,1,6,1,5817.172
2023,1,6,2,5553.735
2023,1,6,3,5378.541
2023,1,6,4,5294.253
2023,1,6,5,5380.747
2023,1,6,6,5495.005
2023,1,6,7,5799.08
2023,1,6,8,6054.475
2023,1,6,9,6349.784
2023,1,6,10,6579.577
2023,1,6,11,6787.539
2023,1,6,12,6886.32
2023,1,6,13,6909.347
2023,1,6,14,6899.544
2023,1,6,15,6949.938
2023,1,6,16,7025.221
2023,1,6,17,7008.28
2023,1,6,18,7049.568
2023,1,6,19,7272.862
2023,1,6,20,7463.308
2023,1,6,21,7410.468
2023,1,6,22,7181.136
2023,1,6,23,6768.7
2023,1,6,24,6423.162
2023,1,6,1,5600.321
2023,1,6,2,5454.106
2023,1,6,3,5340.421
2023,1,6,4,5286.059
2023,1,6,5,5298.614
2023,1,6,6,5356.885
2023,1,6,7,5473.638
2023,1,6,8,5636.247
2023,1,6,9,5757.353
2023,1,6,10,5877.041
2023,1,6,11,5958.815
2023,1,6,12,6017.566
2023,1,6,13,6076.46
2023,1,6,14,6164.02
2023,1,6,15,6221.277
2023,1,6,16,6269.264
2023,1,6,17,6333.289
2023,1,6,18,6257.228
2023,1,6,19,6135.946
2023,1,6,20,6058.828
2023,1,6,21,5995.074
2023,1,6,22,5875.561
2023,1,6,23,5734.468
2023,1,6,24,5617.703
2023,1,6,1,2131.741
2023,1,6,2,2057.364
2023,1,6,3,2026.246
2023,1,6,4,1976.102
2023,1,6,5,1946.399
2023,1,6,6,1936.948
2023,1,6,7,1968.687
2023,1,6,8,2003.939
2023,1,6,9,2082.944
2023,1,6,10,2139.019
2023,1,6,11,2174.906
2023,1,6,12,2209.749
2023,1,6,13,2229.943
2023,1,6,14,2265.632
2023,1,6,15,2288.707
2023,1,6,16,2316.977
2023,1,6,17,2312.679
2023,1,6,18,2322.808
2023,1,6,19,2343.167
2023,1,6,20,2418.998
2023,1,6,21,2381.346
2023,1,6,22,2351.806
2023,1,6,23,2306.652
2023,1,6,24,2227.278
2023,1,6,1,2943.192
2023,1,6,2,2822.999
2023,1,6,3,2767.397
2023,1,6,4,2720.074
2023,1,6,5,2703.99
2023,1,6,6,2741.576
2023,1,6,7,2784.783
2023,1,6,8,2904.729
2023,1,6,9,3056.85
2023,1,6,10,3147.307
2023,1,6,11,3165.02
2023,1,6,12,3172.877
2023,1,6,13,3160.2
2023,1,6,14,3139.02
2023,1,6,15,3125.123
2023,1,6,16,3109.582
2023,1,6,17,3103.167
2023,1,6,18,3105.255
2023,1,6,19,3114.76
2023,1,6,20,3213.929
2023,1,6,21,3219.602
2023,1,6,22,3201.01
2023,1,6,23,3153.436
2023,1,6,24,3053.297
2023,1,6,1,8321.42
2023,1,6,2,8069.3
2023,1,6,3,7882.011
2023,1,6,4,7792.061
2023,1,6,5,7777.263
2023,1,6,6,7914.778
2023,1,6,7,8041.821
2023,1,6,8,8500.532
2023,1,6,9,8891.101
2023,1,6,10,9132.394
2023,1,6,11,9114.288
2023,1,6,12,9134.189
2023,1,6,13,9179.291
2023,1,6,14,9232.321
2023,1,6,15,9217.898
2023,1,6,16,9324.907
2023,1,6,17,9442.296
2023,1,6,18,9496.85
2023,1,6,19,9460.688
2023,1,6,20,9660.409
2023,1,6,21,9524.862
2023,1,6,22,9211.384
2023,1,6,23,8899.319
2023,1,6,24,8705.426
2023,1,6,1,6368.141
2023,1,6,2,6149.697
2023,1,6,3,5927.499
2023,1,6,4,5830.432
2023,1,6,5,5789.498
2023,1,6,6,5864.574
2023,1,6,7,5909.789
2023,1,6,8,5939.522
2023,1,6,9,6100.295
2023,1,6,10,6283.696
2023,1,6,11,6407.99
2023,1,6,12,6507.687
2023,1,6,13,6561.016
2023,1,6,14,6618.46
2023,1,6,15,6628.925
2023,1,6,16,6688.339
2023,1,6,17,6712.562
2023,1,6,18,6783.351
2023,1,6,19,7142.341
2023,1,6,20,7250.709
2023,1,6,21,7085.254
2023,1,6,22,6898.318
2023,1,6,23,6766.692
2023,1,6,24,6591.672
2023,1,6,1,1598.668
