year,month,day,period,1
2023,1,24,17,288.052
2023,1,24,18,292.897
2023,1,24,19,311.21
2023,1,24,20,310.898
2023,1,24,21,301.119
2023,1,24,22,287.251
2023,1,24,23,264.452
2023,1,24,24,242.066
2023,1,25,1,231.085
2023,1,25,2,221.867
2023,1,25,3,215.814
2023,1,25,4,212.984
2023,1,25,5,214.676
2023,1,25,6,224.534
2023,1,25,7,245.607
2023,1,25,8,260.183
2023,1,25,9,271.347
2023,1,25,10,279.128
2023,1,25,11,284.294
2023,1,25,12,286.217
2023,1,25,13,285.936
2023,1,25,14,284.361
2023,1,25,15,286.569
2023,1,25,16,289.335
2023,1,25,17,291.194
2023,1,25,18,293.93
2023,1,25,19,313.145
2023,1,25,20,313.323
2023,1,25,21,304.067
2023,1,25,22,289.433
2023,1,25,23,266.776
2023,1,25,24,244.27
2023,1,26,1,229.925
2023,1,26,2,220.663
2023,1,26,3,214.82
2023,1,26,4,212.131
2023,1,26,5,213.549
2023,1,26,6,223.586
2023,1,26,7,244.557
2023,1,26,8,260.583
2023,1,26,9,271.968
2023,1,26,10,279.146
2023,1,26,11,282.836
2023,1,26,12,282.681
2023,1,26,13,283.616
2023,1,26,14,283.337
2023,1,26,15,285.711
2023,1,26,16,287.319
2023,1,26,17,288.141
2023,1,26,18,292.165
2023,1,26,19,311.732
2023,1,26,20,315.164
2023,1,26,21,307.087
2023,1,26,22,292.899
2023,1,26,23,267.934
2023,1,26,24,242.498
2023,1,27,1,231.045
2023,1,27,2,222.102
2023,1,27,3,216.033
2023,1,27,4,213.686
2023,1,27,5,215.083
2023,1,27,6,225.377
2023,1,27,7,246.531
2023,1,27,8,261.213
2023,1,27,9,272.461
2023,1,27,10,279.36
2023,1,27,11,283.55
2023,1,27,12,285.553
2023,1,27,13,284.654
2023,1,27,14,284.466
2023,1,27,15,287.428
2023,1,27,16,289.314
2023,1,27,17,292.356
2023,1,27,18,296.824
2023,1,27,19,315.104
2023,1,27,20,315.988
2023,1,27,21,307.19
2023,1,27,22,292.737
2023,1,27,23,268.535
2023,1,27,24,245.179
2023,1,28,1,237.638
2023,1,28,2,227.216
2023,1,28,3,219.822
2023,1,28,4,215.972
2023,1,28,5,216.022
2023,1,28,6,221.038
2023,1,28,7,233.666
2023,1,28,8,249.225
2023,1,28,9,266.353
2023,1,28,10,275.036
2023,1,28,11,281.011
2023,1,28,12,284.767
2023,1,28,13,285.256
2023,1,28,14,286.76
2023,1,28,15,287.11
2023,1,28,16,289.852
2023,1,28,17,290.663
2023,1,28,18,293.718
2023,1,28,19,307.721
2023,1,28,20,309.133
2023,1,28,21,299.05
2023,1,28,22,287.823
2023,1,28,23,269.157
2023,1,28,24,250.563
2023,1,29,1,229.334
2023,1,29,2,220.253
2023,1,29,3,214.458
2023,1,29,4,211.874
2023,1,29,5,210.515
2023,1,29,6,213.597
2023,1,29,7,219.648
2023,1,29,8,228.305
2023,1,29,9,244.407
2023,1,29,10,256.443
2023,1,29,11,260.752
2023,1,29,12,263.398
2023,1,29,13,266.329
2023,1,29,14,270.315
2023,1,29,15,271.09
2023,1,29,16,272.835
2023,1,29,17,274.39
2023,1,29,18,276.39
2023,1,29,19,291.277
2023,1,29,20,293.519
2023,1,29,21,288.302
2023,1,29,22,275.157
2023,1,29,23,256.18
2023,1,29,24,235.512
2023,1,30,1,224.509
2023,1,30,2,215.261
2023,1,30,3,209.663
2023,1,30,4,207.033
2023,1,30,5,208.048
2023,1,30,6,218.39
2023,1,30,7,238.592
2023,1,30,8,252.558
2023,1,30,9,264.341
2023,1,30,10,270.883
2023,1,30,11,275.252
2023,1,30,12,279.385
2023,1,30,13,281.764
2023,1,30,14,281.654
2023,1,30,15,284.262
2023,1,30,16,287.266
2023,1,30,17,290.212
2023,1,30,18,292.475
2023,1,30,19,311
2023,1,30,20,311.298
2023,1,30,21,302.949
2023,1,30,22,289.141
2023,1,30,23,265.814
2023,1,30,24,243.272
