Month	Day	Period	Val
1	18	20	73.84
1	18	21	62.13
1	18	22	64.31
1	18	23	72.21
1	18	24	89.37
1	19	1	85.29
1	19	2	79.84
1	19	3	78.2
1	19	4	52.59
1	19	5	80.11
1	19	6	79.02
1	19	7	74.11
1	19	8	55.59
1	19	9	20.71
1	19	10	36.24
1	19	11	39.51
1	19	12	55.86
1	19	13	71.12
1	19	14	81.47
1	19	15	79.84
1	19	16	84.74
1	19	17	91.28
1	19	18	88.83
1	19	19	90.46
1	19	20	85.29
1	19	21	85.29
1	19	22	80.38
1	19	23	77.38
1	19	24	77.93
1	20	1	82.56
1	20	2	83.11
1	20	3	85.56
1	20	4	77.93
1	20	5	79.29
1	20	6	73.3
1	20	7	49.05
1	20	8	50.14
1	20	9	71.93
1	20	10	61.04
1	20	11	65.4
1	20	12	28.88
1	20	13	41.42
1	20	14	35.42
1	20	15	37.06
1	20	16	20.98
1	20	17	23.71
1	20	18	19.62
1	20	19	14.99
1	20	20	11.99
1	20	21	0.82
1	20	22	0
1	20	23	0
1	20	24	0
1	21	1	0
1	21	2	0
1	21	3	0.27
1	21	4	0.54
1	21	5	1.09
1	21	6	1.63
1	21	7	2.18
1	21	8	7.08
1	21	9	4.63
1	21	10	3.54
1	21	11	2.72
1	21	12	2.72
1	21	13	7.63
1	21	14	7.9
1	21	15	10.9
1	21	16	14.17
1	21	17	19.35
1	21	18	26.16
1	21	19	32.97
1	21	20	38.96
1	21	21	48.5
1	21	22	62.4
1	21	23	54.5
1	21	24	38.15
1	22	1	31.06
1	22	2	27.52
1	22	3	15.53
1	22	4	10.08
1	22	5	18.53
1	22	6	13.35
1	22	7	1.63
1	22	8	1.09
1	22	9	0
1	22	10	0
1	22	11	0
1	22	12	0.27
1	22	13	0.27
1	22	14	0.27
1	22	15	0.27
1	22	16	0.27
1	22	17	0.54
1	22	18	0.54
1	22	19	1.63
1	22	20	3.81
1	22	21	10.35
1	22	22	18.8
1	22	23	17.17
1	22	24	22.34
1	23	1	20.44
1	23	2	46.05
1	23	3	45.78
1	23	4	61.31
1	23	5	44.69
1	23	6	24.8
1	23	7	23.71
1	23	8	32.43
1	23	9	32.15
1	23	10	37.06
1	23	11	3.54
1	23	12	7.63
1	23	13	2.45
1	23	14	1.09
1	23	15	1.91
1	23	16	3
1	23	17	0.54
1	23	18	3
1	23	19	11.72
1	23	20	29.16
1	23	21	61.31
1	23	22	68.66
1	23	23	66.76
1	23	24	82.83
1	24	1	90.74
1	24	2	79.56
1	24	3	84.2
1	24	4	84.2
1	24	5	78.2
1	24	6	52.32
1	24	7	43.32
1	24	8	61.31
1	24	9	53.13
1	24	10	44.69
1	24	11	17.17
1	24	12	0
1	24	13	8.45
1	24	14	12.53
1	24	15	2.72
1	24	16	0
1	24	17	0
1	24	18	0
1	24	19	0.27
1	24	20	1.36
1	24	21	2.72
1	24	22	1.91
1	24	23	5.18
1	24	24	4.63
1	25	1	10.35
1	25	2	13.62
1	25	3	9.54
1	25	4	12.26
1	25	5	20.16
1	25	6	58.04
1	25	7	69.48
1	25	8	67.03
1	25	9	40.87
1	25	10	21.8
1	25	11	26.98
1	25	12	34.06
1	25	13	34.88
1	25	14	33.24
1	25	15	33.79
1	25	16	31.61
1	25	17	29.97
1	25	18	43.32
1	25	19	58.04
1	25	20	70.03
1	25	21	79.02
1	25	22	91.28
1	25	23	90.19
1	25	24	88.56
1	26	1	78.75
1	26	2	64.31
1	26	3	54.5
1	26	4	37.06
1	26	5	33.51
1	26	6	33.24
1	26	7	44.41
1	26	8	28.88
1	26	9	21.53
1	26	10	20.44
1	26	11	13.35
1	26	12	1.91
1	26	13	37.33
1	26	14	0
1	26	15	0.27
1	26	16	0
1	26	17	0.27
1	26	18	0.54
1	26	19	0.54
1	26	20	0.54
1	26	21	0.54
1	26	22	1.09
1	26	23	2.18
1	26	24	2.72
1	27	1	3
1	27	2	6.27
1	27	3	10.9
1	27	4	16.62
1	27	5	19.35
1	27	6	25.34
1	27	7	33.24
1	27	8	29.97
1	27	9	16.89
1	27	10	14.17
1	27	11	29.16
1	27	12	15.26
1	27	13	6.54
1	27	14	0
1	27	15	0
1	27	16	2.18
1	27	17	5.72
1	27	18	18.8
1	27	19	30.52
1	27	20	42.78
1	27	21	47.68
1	27	22	43.87
1	27	23	45.5
1	27	24	41.69
1	28	1	71.12
1	28	2	44.69
1	28	3	35.69
1	28	4	32.15
1	28	5	32.97
1	28	6	24.25
1	28	7	28.88
1	28	8	30.25
1	28	9	30.52
1	28	10	14.71
1	28	11	8.17
1	28	12	0
1	28	13	0.82
1	28	14	12.53
1	28	15	11.44
1	28	16	17.71
1	28	17	18.26
1	28	18	15.8
1	28	19	8.45
1	28	20	12.26
1	28	21	15.26
1	28	22	21.53
1	28	23	27.52
1	28	24	39.24
1	29	1	53.41
1	29	2	55.86
1	29	3	39.24
1	29	4	37.6
1	29	5	35.69
1	29	6	36.51
1	29	7	46.32
1	29	8	42.23
1	29	9	49.86
1	29	10	37.06
1	29	11	27.25
1	29	12	28.88
1	29	13	53.95
1	29	14	81.47
1	29	15	76.57
1	29	16	47.96
1	29	17	53.68
1	29	18	42.23
1	29	19	49.86
1	29	20	58.04
1	29	21	57.22
1	29	22	78.47
1	29	23	90.74
1	29	24	94.28
1	30	1	94.28
1	30	2	92.92
1	30	3	91.01
1	30	4	88.28
1	30	5	80.11
1	30	6	71.12
1	30	7	66.49
1	30	8	64.03
1	30	9	57.77
1	30	10	17.17
1	30	11	5.18
1	30	12	3
1	30	13	0.27
1	30	14	4.63
1	30	15	1.09
1	30	16	1.63
