year,month,day,period,1
2023,1,31,2,1462.473
2023,1,31,3,1426.197
2023,1,31,4,1414.584
2023,1,31,5,1431.571
2023,1,31,6,1486.608
2023,1,31,7,1579.203
2023,1,31,8,1650.664
2023,1,31,9,1680.219
2023,1,31,10,1683.204
2023,1,31,11,1686.258
2023,1,31,12,1682.949
2023,1,31,13,1665.381
2023,1,31,14,1673.165
2023,1,31,15,1672.021
2023,1,31,16,1685.346
2023,1,31,17,1707.005
2023,1,31,18,1792.632
2023,1,31,19,1839.47
2023,1,31,20,1855.236
2023,1,31,21,1839.109
2023,1,31,22,1788.025
2023,1,31,23,1693.926
2023,1,31,24,1592.374
2023,2,1,1,1531.138
2023,2,1,2,1475.681
2023,2,1,3,1438.061
2023,2,1,4,1426.057
2023,2,1,5,1445.246
2023,2,1,6,1492.182
2023,2,1,7,1619.653
2023,2,1,8,1689.279
2023,2,1,9,1724.459
2023,2,1,10,1723.655
2023,2,1,11,1735.037
2023,2,1,12,1731.703
2023,2,1,13,1717.997
2023,2,1,14,1726.724
2023,2,1,15,1725.024
2023,2,1,16,1734.754
2023,2,1,17,1757.65
2023,2,1,18,1850.081
2023,2,1,19,1893.743
2023,2,1,20,1910.289
2023,2,1,21,1890.91
2023,2,1,22,1841.346
2023,2,1,23,1749.48
2023,2,1,24,1647.667
2023,2,2,1,1565.113
2023,2,2,2,1506.253
2023,2,2,3,1470.572
2023,2,2,4,1458.678
2023,2,2,5,1475.923
2023,2,2,6,1521.362
2023,2,2,7,1613.705
2023,2,2,8,1684.124
2023,2,2,9,1716.431
2023,2,2,10,1716.911
2023,2,2,11,1720.48
2023,2,2,12,1712.652
2023,2,2,13,1699.562
2023,2,2,14,1703.595
2023,2,2,15,1699.207
2023,2,2,16,1711.704
2023,2,2,17,1737.568
2023,2,2,18,1822.976
2023,2,2,19,1872.444
2023,2,2,20,1888.675
2023,2,2,21,1870.088
2023,2,2,22,1820.501
2023,2,2,23,1728.288
2023,2,2,24,1628.874
2023,2,3,1,1555.845
2023,2,3,2,1495.466
2023,2,3,3,1457.521
2023,2,3,4,1446.814
2023,2,3,5,1462.248
2023,2,3,6,1504.081
2023,2,3,7,1600.452
2023,2,3,8,1677.617
2023,2,3,9,1713.759
2023,2,3,10,1710.597
2023,2,3,11,1718.753
2023,2,3,12,1713.504
2023,2,3,13,1700.153
2023,2,3,14,1688.864
2023,2,3,15,1689.013
2023,2,3,16,1689.434
2023,2,3,17,1686.934
2023,2,3,18,1760.5
2023,2,3,19,1800.974
2023,2,3,20,1810.468
2023,2,3,21,1801.132
2023,2,3,22,1762.931
2023,2,3,23,1695.153
2023,2,3,24,1605.589
2023,2,4,1,1495.375
2023,2,4,2,1440.448
2023,2,4,3,1401.817
2023,2,4,4,1387.725
2023,2,4,5,1391.476
2023,2,4,6,1399.133
2023,2,4,7,1429.16
